code,paper,level,parent_code,label,catalog_ref,sort_order,enabled
p1-s-1,p1,subject,,觀光餐旅業導論,觀光餐旅業導論,1,TRUE
p1-c-ch1,p1,chapter,p1-s-1,CH1 觀光餐旅業基本觀念,CH1,1,TRUE
p1-s-1-1,p1,section,p1-c-ch1,1-1 觀光餐旅業的定義,1-1,1,TRUE
p1-c-1-1-a,p1,concept,p1-s-1-1,1-1 A 定義,1-1 A,1,TRUE
p1-c-1-1-b,p1,concept,p1-s-1-1,1-1 B 字源,1-1 B,2,TRUE
p1-s-1-2,p1,section,p1-c-ch1,1-2 觀光餐旅業的範圍,1-2,2,TRUE
p1-c-1-2-a,p1,concept,p1-s-1-2,1-2 A 行政院行業分類（H大類、I大類、O大類、S大類）,1-2 A,3,TRUE
p1-c-1-2-b,p1,concept,p1-s-1-2,1-2 B 經濟部商業司分類,1-2 B,4,TRUE
p1-s-1-3,p1,section,p1-c-ch1,1-3 觀光餐旅業的特性,1-3,3,TRUE
p1-c-1-3-a,p1,concept,p1-s-1-3,1-3 A 觀光餐旅業的特性,1-3 A,5,TRUE
p1-c-1-3-a1,p1,concept,p1-s-1-3,1-3 A1 標準作業流程（SOP）,1-3 A1,6,TRUE
p1-c-1-3-b,p1,concept,p1-s-1-3,1-3 B 關鍵時刻（Moment of Truth，MOT）,1-3 B,7,TRUE
p1-s-1-4,p1,section,p1-c-ch1,1-4 觀光餐旅業發展的影響,1-4,4,TRUE
p1-c-1-4-a,p1,concept,p1-s-1-4,1-4 A 發展影響（經濟、文化、社會、環境）,1-4 A,8,TRUE
p1-s-1-5,p1,section,p1-c-ch1,1-5 我國觀光餐旅主管機關,1-5,5,TRUE
p1-c-1-5-a,p1,concept,p1-s-1-5,1-5 A 主管機關,1-5 A,9,TRUE
p1-c-1-5-b,p1,concept,p1-s-1-5,1-5 B 交通部觀光署,1-5 B,10,TRUE
p1-c-1-5-b1,p1,concept,p1-s-1-5,1-5 B1國家級風景特定區,1-5 B1,11,TRUE
p1-c-1-5-b2,p1,concept,p1-s-1-5,1-5 B2各組室職掌,1-5 B2,12,TRUE
p1-c-1-5-b3,p1,concept,p1-s-1-5,1-5 B3駐外辦事處,1-5 B3,13,TRUE
